coach,team_season,wins,ties
Ken Whisenhunt,ARI_2009,10,0
Ken Whisenhunt,ARI_2010,5,0
Ken Whisenhunt,ARI_2011,8,0
Ken Whisenhunt,ARI_2012,5,0
Bruce Arians,ARI_2013,10,0
Bruce Arians,ARI_2014,11,0
Bruce Arians,ARI_2015,13,0
Bruce Arians,ARI_2016,7,1
Bruce Arians,ARI_2017,8,0
Mike Smith,ATL_2009,9,0
Mike Smith,ATL_2010,13,0
Mike Smith,ATL_2011,10,0
Mike Smith,ATL_2012,13,0
Mike Smith,ATL_2013,4,0
Mike Smith,ATL_2014,6,0
Dan Quinn,ATL_2015,8,0
Dan Quinn,ATL_2016,11,0
Dan Quinn,ATL_2017,10,0
John Harbaugh,BAL_2009,9,0
John Harbaugh,BAL_2010,12,0
John Harbaugh,BAL_2011,12,0
John Harbaugh,BAL_2012,10,0
John Harbaugh,BAL_2013,8,0
John Harbaugh,BAL_2014,10,0
John Harbaugh,BAL_2015,5,0
John Harbaugh,BAL_2016,8,0
John Harbaugh,BAL_2017,9,0
none,BUF_2009,6,0
Chan Gailey,BUF_2010,4,0
Chan Gailey,BUF_2011,6,0
Chan Gailey,BUF_2012,6,0
Doug Marrone,BUF_2013,6,0
Doug Marrone,BUF_2014,9,0
Rex Ryan,BUF_2015,8,0
none,BUF_2016,7,0
Sean McDermmott,BUF_2017,9,0
John Fox,CAR_2009,8,0
John Fox,CAR_2010,2,0
Ron Rivera,CAR_2011,6,0
Ron Rivera,CAR_2012,7,0
Ron Rivera,CAR_2013,12,0
Ron Rivera,CAR_2014,7,1
Ron Rivera,CAR_2015,15,0
Ron Rivera,CAR_2016,6,0
Ron Rivera,CAR_2017,11,0
Lovie Smith,CHI_2009,7,0
Lovie Smith,CHI_2010,11,0
Lovie Smith,CHI_2011,8,0
Lovie Smith,CHI_2012,10,0
Marc Trestman,CHI_2013,8,0
Marc Trestman,CHI_2014,5,0
John Fox,CHI_2015,6,0
John Fox,CHI_2016,3,0
John Fox,CHI_2017,5,0
Marvin Lewis,CIN_2009,10,0
Marvin Lewis,CIN_2010,4,0
Marvin Lewis,CIN_2011,9,0
Marvin Lewis,CIN_2012,10,0
Marvin Lewis,CIN_2013,11,0
Marvin Lewis,CIN_2014,10,1
Marvin Lewis,CIN_2015,12,0
Marvin Lewis,CIN_2016,6,1
Marvin Lewis,CIN_2017,7,0
Eric Mangini,CLE_2009,5,0
Eric Mangini,CLE_2010,5,0
Pat Shurmur,CLE_2011,4,0
Pat Shurmur,CLE_2012,5,0
Rob Chudzinski,CLE_2013,4,0
Mike Pettine,CLE_2014,7,0
Mike Pettine,CLE_2015,3,0
Hue Jackson,CLE_2016,1,0
Hue Jackson,CLE_2017,0,0
Wade Phillips,DAL_2009,11,0
none,DAL_2010,6,0
Jason Garrett,DAL_2011,8,0
Jason Garrett,DAL_2012,8,0
Jason Garrett,DAL_2013,8,0
Jason Garrett,DAL_2014,12,0
Jason Garrett,DAL_2015,4,0
Jason Garrett,DAL_2016,13,0
Jason Garrett,DAL_2017,9,0
Josh McDaniels,DEN_2009,8,0
none,DEN_2010,4,0
John Fox,DEN_2011,8,0
John Fox,DEN_2012,13,0
John Fox,DEN_2013,13,0
John Fox,DEN_2014,12,0
Gary Kubiak,DEN_2015,12,0
Gary Kubiak,DEN_2016,9,0
Vance Joseph,DEN_2017,5,0
Jim Schwartz,DET_2009,2,0
Jim Schwartz,DET_2010,6,0
Jim Schwartz,DET_2011,10,0
Jim Schwartz,DET_2012,4,0
Jim Schwartz,DET_2013,7,0
Jim Caldwell,DET_2014,11,0
Jim Caldwell,DET_2015,7,0
Jim Caldwell,DET_2016,9,0
Jim Caldwell,DET_2017,9,0
Mike McCarthy,GB_2009,11,0
Mike McCarthy,GB_2010,10,0
Mike McCarthy,GB_2011,15,0
Mike McCarthy,GB_2012,11,0
Mike McCarthy,GB_2013,8,1
Mike McCarthy,GB_2014,12,0
Mike McCarthy,GB_2015,10,0
Mike McCarthy,GB_2016,10,0
Mike McCarthy,GB_2017,7,0
Gary Kubiak,HOU_2009,9,0
Gary Kubiak,HOU_2010,6,0
Gary Kubiak,HOU_2011,10,0
Gary Kubiak,HOU_2012,12,0
none,HOU_2013,2,0
Bill O'Brien,HOU_2014,9,0
Bill O'Brien,HOU_2015,9,0
Bill O'Brien,HOU_2016,9,0
Bill O'Brien,HOU_2017,4,0
Jim Caldwell,IND_2009,14,0
Jim Caldwell,IND_2010,10,0
Jim Caldwell,IND_2011,2,0
Chuck Pagano,IND_2012,11,0
Chuck Pagano,IND_2013,11,0
Chuck Pagano,IND_2014,11,0
Chuck Pagano,IND_2015,8,0
Chuck Pagano,IND_2016,8,0
Chuck Pagano,IND_2017,4,0
Jack Del Rio,JAC_2009,7,0
Jack Del Rio,JAC_2010,8,0
none,JAC_2011,5,0
Mike Mularkey,JAC_2012,2,0
Gus Bradley,JAC_2013,4,0
Gus Bradley,JAC_2014,3,0
Gus Bradley,JAC_2015,5,0
Gus Bradley,JAX_2016,3,0
Doug Marrone,JAX_2017,10,0
Todd Haley,KC_2009,4,0
Todd Haley,KC_2010,10,0
none,KC_2011,7,0
Romeo Crennel,KC_2012,2,0
Andy Reid,KC_2013,11,0
Andy Reid,KC_2014,9,0
Andy Reid,KC_2015,11,0
Andy Reid,KC_2016,12,0
Andy Reid,KC_2017,10,0
none,LA_2016,4,0
Sean McVay,LA_2017,11,0
Anthony Lynn,LAC_2017,9,0
Tony Sparano,MIA_2009,7,0
Tony Sparano,MIA_2010,7,0
none,MIA_2011,6,0
Joe Philbin,MIA_2012,7,0
Joe Philbin,MIA_2013,8,0
Joe Philbin,MIA_2014,8,0
none,MIA_2015,6,0
Adam Gase,MIA_2016,10,0
Adam Gase,MIA_2017,6,0
Brad Childress,MIN_2009,12,0
none,MIN_2010,6,0
Leslie Frazier,MIN_2011,3,0
Leslie Frazier,MIN_2012,10,0
Leslie Frazier,MIN_2013,5,1
Mike Zimmer,MIN_2014,7,0
Mike Zimmer,MIN_2015,11,0
Mike Zimmer,MIN_2016,8,0
Mike Zimmer,MIN_2017,13,0
Bill Belichick,NE_2009,10,0
Bill Belichick,NE_2010,14,0
Bill Belichick,NE_2011,13,0
Bill Belichick,NE_2012,12,0
Bill Belichick,NE_2013,12,0
Bill Belichick,NE_2014,12,0
Bill Belichick,NE_2015,12,0
Bill Belichick,NE_2016,14,0
Bill Belichick,NE_2017,13,0
Sean Payton,NO_2009,13,0
Sean Payton,NO_2010,11,0
Sean Payton,NO_2011,13,0
none,NO_2012,7,0
Sean Payton,NO_2013,11,0
Sean Payton,NO_2014,7,0
Sean Payton,NO_2015,7,0
Sean Payton,NO_2016,7,0
Sean Payton,NO_2017,11,0
Tom Coughlin,NYG_2009,8,0
Tom Coughlin,NYG_2010,10,0
Tom Coughlin,NYG_2011,9,0
Tom Coughlin,NYG_2012,9,0
Tom Coughlin,NYG_2013,7,0
Tom Coughlin,NYG_2014,6,0
Tom Coughlin,NYG_2015,6,0
Ben McAdoo,NYG_2016,11,0
none,NYG_2017,3,0
Rex Ryan,NYJ_2009,9,0
Rex Ryan,NYJ_2010,11,0
Rex Ryan,NYJ_2011,8,0
Rex Ryan,NYJ_2012,6,0
Rex Ryan,NYJ_2013,8,0
Rex Ryan,NYJ_2014,4,0
Todd Bowles,NYJ_2015,10,0
Todd Bowles,NYJ_2016,5,0
Todd Bowles,NYJ_2017,5,0
Tom Cable,OAK_2009,5,0
Tom Cable,OAK_2010,8,0
Hue Jackson,OAK_2011,8,0
Dennis Allen,OAK_2012,4,0
Dennis Allen,OAK_2013,4,0
none,OAK_2014,3,0
Jack Del Rio,OAK_2015,7,0
Jack Del Rio,OAK_2016,12,0
Jack Del Rio,OAK_2017,6,0
Andy Reid,PHI_2009,11,0
Andy Reid,PHI_2010,10,0
Andy Reid,PHI_2011,8,0
Andy Reid,PHI_2012,4,0
Chip Kelly,PHI_2013,10,0
Chip Kelly,PHI_2014,10,0
none,PHI_2015,7,0
Doug Pederson,PHI_2016,7,0
Doug Pederson,PHI_2017,13,0
Mike Tomlin,PIT_2009,9,0
Mike Tomlin,PIT_2010,12,0
Mike Tomlin,PIT_2011,12,0
Mike Tomlin,PIT_2012,8,0
Mike Tomlin,PIT_2013,8,0
Mike Tomlin,PIT_2014,11,0
Mike Tomlin,PIT_2015,10,0
Mike Tomlin,PIT_2016,11,0
Mike Tomlin,PIT_2017,13,0
Norv Turner,SD_2009,13,0
Norv Turner,SD_2010,9,0
Norv Turner,SD_2011,8,0
Norv Turner,SD_2012,7,0
Mike McCoy,SD_2013,9,0
Mike McCoy,SD_2014,9,0
Mike McCoy,SD_2015,4,0
Mike McCoy,SD_2016,5,0
Jim L. Mora,SEA_2009,5,0
Pete Carroll,SEA_2010,7,0
Pete Carroll,SEA_2011,7,0
Pete Carroll,SEA_2012,11,0
Pete Carroll,SEA_2013,13,0
Pete Carroll,SEA_2014,12,0
Pete Carroll,SEA_2015,10,0
Pete Carroll,SEA_2016,10,1
Pete Carroll,SEA_2017,9,0
Mike Singletary,SF_2009,8,0
none,SF_2010,6,0
Jim Harbaugh,SF_2011,13,0
Jim Harbaugh,SF_2012,11,1
Jim Harbaugh,SF_2013,12,0
Jim Harbaugh,SF_2014,8,0
Jim Tomsula,SF_2015,5,0
Chip Kelly,SF_2016,2,0
Kyle Shanahan,SF_2017,6,0
Steve Spagnuolo,STL_2009,1,0
Steve Spagnuolo,STL_2010,7,0
Steve Spagnuolo,STL_2011,2,0
Jeff Fisher,STL_2012,7,1
Jeff Fisher,STL_2013,7,0
Jeff Fisher,STL_2014,6,0
Jeff Fisher,STL_2015,7,0
Raheem Morris,TB_2009,3,0
Raheem Morris,TB_2010,10,0
Raheem Morris,TB_2011,4,0
Greg Schiano,TB_2012,7,0
Greg Schiano,TB_2013,4,0
Lovie Smith,TB_2014,2,0
Lovie Smith,TB_2015,6,0
Dirk Koetter,TB_2016,9,0
Dirk Koetter,TB_2017,5,0
Jeff Fisher,TEN_2009,8,0
Jeff Fisher,TEN_2010,6,0
Mike Munchak,TEN_2011,9,0
Mike Munchak,TEN_2012,6,0
Mike Munchak,TEN_2013,7,0
Ken Whisenhunt,TEN_2014,2,0
none,TEN_2015,3,0
Mike Mularkey,TEN_2016,9,0
Mike Mularkey,TEN_2017,9,0
Jim Zorn,WAS_2009,4,0
Mike Shanahan,WAS_2010,6,0
Mike Shanahan,WAS_2011,5,0
Mike Shanahan,WAS_2012,10,0
Mike Shanahan,WAS_2013,3,0
Jay Gruden,WAS_2014,4,0
Jay Gruden,WAS_2015,9,0
Jay Gruden,WAS_2016,8,1
Jay Gruden,WAS_2017,7,0